gene_name	gene_id	protein_id	transcript_count	dmr_transcript_count	dmr_count	dmr_A_count	dmr_C_count	dmr_G_count	dmr_U_count	gene_level_ont_C3	gene_level_ont_C4	ont_gene_log2FC_C4vsC3	ont_gene_pval	ont_gene_qval	protein_level_C3	protein_level_C4	protein_log2FC_C4vsC3	protein_pval	protein_qval	median_transcript_len
SLC39A6	ENSG00000141424	Q13433	1	1	4	1	0	0	3	7.177637758111977	7.39658903569585	0.2147722496439087	0.4542787510792673	0.9990269081233384	13.063539701448082	13.411050766553645	0.352926273384179	0.0781385504923278	0.241188897939284	3566.0
MRFAP1L1	ENSG00000178988	Q96HT8	1	1	4	0	1	1	2	5.740106705517465	5.708043655837327	-0.0384515395384626	0.9134070000878268	0.9990269081233384	0.0	0.0	0.0	1.0	1.0	1578.0
SLC16A1	ENSG00000155380	P53985	0	2	4	1	1	0	2	0.0	0.0				14.763488296030996	14.792086219541172	-0.000797107455947902	0.999999927803385	1.0	
EIF4G2	ENSG00000110321	P78344	5	2	4	0	0	1	3	9.792347712625752	9.829658279045285	0.0314505651350677	0.8826517524234213	0.9990269081233384	14.884047219368654	14.843785382015058	-0.0115710207177912	0.999999999223033	1.0	3794.0
LIPG	ENSG00000101670	Q9Y5X9	2	1	4	1	1	1	1	6.120389115189459	5.927722015241928	-0.1533775513431966	0.7552133592410073	0.9990269081233384	0.0	0.0	0.0	1.0	1.0	2654.0
APP	ENSG00000142192	P05067	4	3	4	1	0	0	3	9.35116968063059	9.20940774999198	-0.1623553864838851	0.5034174783200813	0.9990269081233384	14.555871958539	14.15123498028546	-0.374402745323888	5.27975227483724e-06	6.84555523780957e-05	3194.5
APH1A	ENSG00000117362	Q96BI3	3	2	4	0	0	2	2	6.983033500226605	7.239929281884145	0.2449602131698333	0.3966779827950191	0.9990269081233384	0.0	0.0	0.0	1.0	1.0	1730.0
ISLR	ENSG00000129009	O14498	4	2	4	1	1	1	1	9.174874703482056	8.531817827678966	-0.6808259242565656	0.0134366930122882	0.2440478428510952	14.242661225212464	14.478671902019382	0.225007669780669	0.115790716632657	0.321288051146245	2253.0
IER3IP1	ENSG00000134049	Q9Y5U9	0	1	4	2	0	0	2	0.0	0.0				0.0	0.0	0.0	1.0	1.0	
ABCF2	ENSG00000033050	Q9UG63	1	1	4	0	2	2	0	2.291253693164138	2.5559342332160284				14.304223757318898	14.25289599860897	-0.0392418897548663	0.992554464994268	1.0	4527.0
CDK9	ENSG00000136807	P50750	0	1	4	1	2	0	1	0.0	0.0				12.799085196320199	13.018455088158259	0.184004027345973	0.309503836094487	0.641657056462261	
TNIP1	ENSG00000145901	Q15025	7	2	4	0	2	0	2	7.936402113828356	8.227387245627371	0.2517689634342177	0.3582600765062504	0.991727944910061	12.318138705483582	12.346122133117191	-0.0403141921431523	0.999705019806468	1.0	2711.0
CEMIP	ENSG00000103888	Q8WUJ3	3	3	4	0	1	0	3	7.944304121983068	6.487169322159766	-1.525176452141139	1.687777213262602e-06	0.0001929005858865	14.736499851636381	12.748615068483687	-2.01737294234609	1.67236159862673e-54	7.89633401484921e-52	7297.0
PSMD3	ENSG00000108344	O43242	1	1	4	0	2	0	2	7.11638269999604	7.130650391325175	0.0069315384511796	0.980632303268328	0.9990269081233384	15.865562623244942	16.02227239355591	0.182996122047887	0.000121153064462621	0.00109482179145966	2147.0
HSPA4	ENSG00000170606	P34932	3	1	4	0	1	0	3	6.32741588956733	6.737160263990287	0.4183069143722773	0.1823280924905155	0.865642797781718	15.754957550091572	15.870558226644732	0.101232339986821	0.825307387711178	1.0	2358.0
HEG1	ENSG00000173706	Q9ULI3	1	1	4	0	0	0	4	7.8035868786189715	7.4058787295919934	-0.3949311617588703	0.2156891076527185	0.9125560540249704	14.563806516783348	14.566475286237466	0.0426995456795467	0.93627747107252	1.0	9195.0
DCBLD2	ENSG00000057019	Q96PD2	2	1	4	0	1	1	2	8.17494972598139	9.387642705173837	1.258365278924171	0.0002577481765528	0.0124516284054276	13.888978704238488	14.989209119937026	1.10962933860332	1.48524337722067e-19	1.20219842504748e-17	5043.5
ADAMTS1	ENSG00000154734	Q9UHI8	3	3	4	1	1	1	1	9.18355535031987	10.192063647714061	1.0056174252303178	1.550668591934179e-05	0.0013710250984535	15.386164339664319	15.76095958052035	0.403202745430199	2.09786372197137e-09	5.6602361184237e-08	3541.0
PDIA3	ENSG00000167004	P30101	3	2	4	0	1	0	3	9.983341095097346	9.6853086758675	-0.3318561341435186	0.2435646277715402	0.9298199158522666	18.84215019326487	18.988875118116642	0.172988274685633	0.0731140632999923	0.228496570688227	2107.0
ACSL3	ENSG00000123983	O95573	10	2	4	2	1	0	1	6.97947446451298	7.049805166638503	0.0897914618246612	0.7625444109773042	0.9990269081233384	14.875298708511282	14.73135116597027	-0.134372440831601	0.56989219783445	0.925217533790829	5531.5
CALU	ENSG00000128595	O43852	5	1	4	0	1	0	3	10.316012729818503	10.634962520937748	0.3102798661967671	0.1353238809304463	0.7897927864763976	18.621655268086297	18.905051318861165	0.281000154481458	0.148185676134138	0.382514825046025	3210.0
CCDC80	ENSG00000091986	Q76M96	5	2	4	1	1	0	2	9.270881319921171	9.346823944794389	0.0644608220727867	0.789953168486302	0.9990269081233384	15.952160948438955	15.169955996587262	-0.784422876256629	1.20636400269912e-25	1.62744248554601e-23	1010.0
CSDE1	ENSG00000009307	O75534	5	2	4	1	0	0	3	8.974274086386504	9.321650645310203	0.3485137857349779	0.1235714476596477	0.7651980474078431	15.076028674648233	15.09839366300462	0.0334817517033559	0.999361880517667	1.0	4006.0
