contig	polya_length	coverage	run	condition
ENST00000216877.10	32	24	s4_r3	s4
ENST00000216879.9	60	12	s4_r3	s4
ENST00000216923.5	37	1	s4_r3	s4
ENST00000216962.9	131	23	s4_r3	s4
ENST00000216968.5	93	56	s4_r3	s4
ENST00000217109.9	44	17	s4_r3	s4
ENST00000217121.9	131	8	s4_r3	s4
ENST00000217131.6	83	8	s4_r3	s4
ENST00000217173.7	98	2	s4_r3	s4
ENST00000217182.6	57	19	s4_r3	s4
ENST00000217195.12	104	4	s4_r3	s4
ENST00000217233.9	54	38	s4_r3	s4
ENST00000217244.9	40	15	s4_r3	s4
ENST00000217289.9	91	5	s4_r3	s4
ENST00000217315.9	110	7	s4_r3	s4
ENST00000217381.3	62	33	s4_r3	s4
ENST00000217402.3	56	27	s4_r3	s4
ENST00000217426.7	66	90	s4_r3	s4
ENST00000217446.8	108	21	s4_r3	s4
ENST00000217455.9	51	16	s4_r3	s4
ENST00000217456.3	141	121	s4_r3	s4
ENST00000217515.11	47	107	s4_r3	s4
ENST00000217652.8	51	1178	s4_r3	s4
ENST00000217800.9	344	1	s4_r3	s4
ENST00000217893.10	137	33	s4_r3	s4
ENST00000217901.10	50	35	s4_r3	s4
ENST00000217909.8	36	9	s4_r3	s4
ENST00000217939.7	174	1	s4_r3	s4
ENST00000217958.8	105	67	s4_r3	s4
ENST00000217961.5	146	7	s4_r3	s4
ENST00000217971.8	50	338	s4_r3	s4
ENST00000218056.9	34	11	s4_r3	s4
ENST00000218104.6	69	5	s4_r3	s4
ENST00000218197.9	98	1	s4_r3	s4
ENST00000218200.12	68	1	s4_r3	s4
ENST00000218230.6	160	7	s4_r3	s4
ENST00000218340.4	46	5	s4_r3	s4
ENST00000218348.7	40	4	s4_r3	s4
ENST00000218364.5	89	6	s4_r3	s4
ENST00000218388.9	141	6686	s4_r3	s4
ENST00000218516.4	41	9	s4_r3	s4
ENST00000218652.11	58	23	s4_r3	s4
ENST00000218981.5	58	1	s4_r3	s4
ENST00000219066.5	82	3	s4_r3	s4
ENST00000219069.6	27	25	s4_r3	s4
ENST00000219070.9	177	638	s4_r3	s4
ENST00000219091.9	60	1	s4_r3	s4
ENST00000219097.7	57	1	s4_r3	s4
ENST00000219139.8	180	8	s4_r3	s4
ENST00000219168.8	13	2	s4_r3	s4
ENST00000219169.9	50	56	s4_r3	s4
ENST00000219204.8	90	84	s4_r3	s4
ENST00000219240.9	129	4	s4_r3	s4
