contig	polya_length	coverage	run	condition
ENST00000219782.10	64	8	s3_r2	s3
ENST00000219789.11	91	58	s3_r2	s3
ENST00000219794.11	55	22	s3_r2	s3
ENST00000219837.12	12	3	s3_r2	s3
ENST00000220003.14	28	4	s3_r2	s3
ENST00000220058.9	78	4	s3_r2	s3
ENST00000220166.10	127	4	s3_r2	s3
ENST00000220244.7	152	97	s3_r2	s3
ENST00000220325.9	119	13	s3_r2	s3
ENST00000220429.12	118	2	s3_r2	s3
ENST00000220496.9	26	3	s3_r2	s3
ENST00000220509.10	59	11	s3_r2	s3
ENST00000220531.9	126	10	s3_r2	s3
ENST00000220562.9	46	6	s3_r2	s3
ENST00000220584.9	171	8	s3_r2	s3
ENST00000220592.10	133	6	s3_r2	s3
ENST00000220659.11	135	6	s3_r2	s3
ENST00000220669.10	82	7	s3_r2	s3
ENST00000220751.5	49	22	s3_r2	s3
ENST00000220763.10	94	25	s3_r2	s3
ENST00000220764.7	38	24	s3_r2	s3
ENST00000220772.8	130	113	s3_r2	s3
ENST00000220809.9	54	68	s3_r2	s3
ENST00000220822.12	47	1	s3_r2	s3
ENST00000220849.10	46	108	s3_r2	s3
ENST00000220853.8	133	22	s3_r2	s3
ENST00000220876.12	95	3	s3_r2	s3
ENST00000220913.10	104	3	s3_r2	s3
ENST00000220966.10	100	6	s3_r2	s3
ENST00000221086.8	153	4	s3_r2	s3
ENST00000221114.8	78	21	s3_r2	s3
ENST00000221130.11	81	14	s3_r2	s3
ENST00000221132.8	67	1	s3_r2	s3
ENST00000221138.9	38	39	s3_r2	s3
ENST00000221200.9	76	12	s3_r2	s3
ENST00000221232.11	141	4	s3_r2	s3
ENST00000221233.9	56	7	s3_r2	s3
ENST00000221249.10	97	9	s3_r2	s3
ENST00000221264.8	143	10	s3_r2	s3
ENST00000221363.8	144	3	s3_r2	s3
ENST00000221413.10	51	2	s3_r2	s3
ENST00000221418.9	59	20	s3_r2	s3
ENST00000221419.10	83	4	s3_r2	s3
ENST00000221431.11	47	3	s3_r2	s3
ENST00000221448.9	111	1	s3_r2	s3
ENST00000221452.13	90	7	s3_r2	s3
ENST00000221455.8	187	1	s3_r2	s3
