contig	polya_length	coverage	run	condition
ENST00000219400.8	110	12	s1_r1	s1
ENST00000219409.8	100	1	s1_r1	s1
ENST00000219431.4	43	5	s1_r1	s1
ENST00000219439.9	54	11	s1_r1	s1
ENST00000219473.12	46	24	s1_r1	s1
ENST00000219476.9	34	2	s1_r1	s1
ENST00000219478.11	218	1	s1_r1	s1
ENST00000219479.7	60	105	s1_r1	s1
ENST00000219535.7	92	1	s1_r1	s1
ENST00000219542.3	91	5	s1_r1	s1
ENST00000219548.9	53	101	s1_r1	s1
ENST00000219611.7	21	14	s1_r1	s1
ENST00000219689.12	46	6	s1_r1	s1
ENST00000219782.10	66	17	s1_r1	s1
ENST00000219789.11	51	60	s1_r1	s1
ENST00000219794.11	42	24	s1_r1	s1
ENST00000219797.9	153	1	s1_r1	s1
ENST00000219837.12	33	9	s1_r1	s1
ENST00000219905.12	78	3	s1_r1	s1
ENST00000220003.14	96	15	s1_r1	s1
ENST00000220058.9	225	17	s1_r1	s1
ENST00000220166.10	181	7	s1_r1	s1
ENST00000220244.7	172	34	s1_r1	s1
ENST00000220325.9	108	20	s1_r1	s1
ENST00000220429.12	105	1	s1_r1	s1
ENST00000220496.9	80	3	s1_r1	s1
ENST00000220509.10	125	26	s1_r1	s1
ENST00000220531.9	123	29	s1_r1	s1
ENST00000220562.9	53	18	s1_r1	s1
ENST00000220584.9	95	18	s1_r1	s1
ENST00000220592.10	129	9	s1_r1	s1
ENST00000220659.11	48	17	s1_r1	s1
ENST00000220669.10	52	17	s1_r1	s1
ENST00000220751.5	45	21	s1_r1	s1
ENST00000220763.10	143	35	s1_r1	s1
ENST00000220764.7	40	32	s1_r1	s1
ENST00000220772.8	129	110	s1_r1	s1
ENST00000220809.9	50	117	s1_r1	s1
ENST00000220822.12	160	2	s1_r1	s1
ENST00000220847.8	59	1	s1_r1	s1
ENST00000220849.10	58	135	s1_r1	s1
ENST00000220853.8	160	35	s1_r1	s1
ENST00000220876.12	94	11	s1_r1	s1
ENST00000220913.10	51	8	s1_r1	s1
ENST00000220931.11	107	1	s1_r1	s1
ENST00000220959.8	46	1	s1_r1	s1
ENST00000220966.10	175	5	s1_r1	s1
ENST00000221086.8	114	12	s1_r1	s1
ENST00000221114.8	104	21	s1_r1	s1
ENST00000221130.11	39	32	s1_r1	s1
ENST00000221132.8	132	1	s1_r1	s1
