contig	polya_length	coverage	run	condition
ENST00000216468.8	125	6	s1_r3	s1
ENST00000216479.8	90	74	s1_r3	s1
ENST00000216481.10	49	3	s1_r3	s1
ENST00000216484.7	155	14	s1_r3	s1
ENST00000216487.12	100	6	s1_r3	s1
ENST00000216489.8	157	4	s1_r3	s1
ENST00000216500.9	82	35	s1_r3	s1
ENST00000216513.5	41	1	s1_r3	s1
ENST00000216554.8	116	85	s1_r3	s1
ENST00000216602.10	96	2	s1_r3	s1
ENST00000216629.11	58	39	s1_r3	s1
ENST00000216639.8	74	2	s1_r3	s1
ENST00000216714.8	38	57	s1_r3	s1
ENST00000216727.9	79	16	s1_r3	s1
ENST00000216756.11	64	9	s1_r3	s1
ENST00000216774.11	137	20	s1_r3	s1
ENST00000216780.9	51	24	s1_r3	s1
ENST00000216797.10	40	69	s1_r3	s1
ENST00000216799.9	92	3	s1_r3	s1
ENST00000216802.10	81	19	s1_r3	s1
ENST00000216807.12	131	4	s1_r3	s1
ENST00000216832.9	83	6	s1_r3	s1
ENST00000216840.11	108	11	s1_r3	s1
ENST00000216877.10	103	32	s1_r3	s1
ENST00000216879.9	96	23	s1_r3	s1
ENST00000216962.9	67	34	s1_r3	s1
ENST00000216968.5	134	51	s1_r3	s1
ENST00000217109.9	96	8	s1_r3	s1
ENST00000217121.9	69	5	s1_r3	s1
ENST00000217131.6	135	8	s1_r3	s1
ENST00000217173.7	40	6	s1_r3	s1
ENST00000217182.6	122	13	s1_r3	s1
ENST00000217195.12	25	1	s1_r3	s1
ENST00000217233.9	44	51	s1_r3	s1
ENST00000217244.9	160	8	s1_r3	s1
ENST00000217289.9	73	10	s1_r3	s1
ENST00000217315.9	52	19	s1_r3	s1
ENST00000217381.3	64	33	s1_r3	s1
ENST00000217402.3	132	26	s1_r3	s1
ENST00000217426.7	92	83	s1_r3	s1
ENST00000217446.8	56	19	s1_r3	s1
ENST00000217455.9	58	14	s1_r3	s1
ENST00000217456.3	104	80	s1_r3	s1
ENST00000217515.11	72	80	s1_r3	s1
ENST00000217652.8	52	815	s1_r3	s1
ENST00000217893.10	36	20	s1_r3	s1
ENST00000217901.10	53	27	s1_r3	s1
ENST00000217909.8	57	5	s1_r3	s1
ENST00000217939.7	128	3	s1_r3	s1
ENST00000217958.8	69	60	s1_r3	s1
ENST00000217961.5	104	3	s1_r3	s1
ENST00000217971.8	61	275	s1_r3	s1
ENST00000217999.3	25	1	s1_r3	s1
ENST00000218056.9	57	15	s1_r3	s1
ENST00000218104.6	45	6	s1_r3	s1
ENST00000218176.4	57	1	s1_r3	s1
ENST00000218197.9	48	4	s1_r3	s1
ENST00000218200.12	142	1	s1_r3	s1
ENST00000218224.8	24	1	s1_r3	s1
ENST00000218230.6	119	2	s1_r3	s1
ENST00000218340.4	131	3	s1_r3	s1
ENST00000218348.7	57	8	s1_r3	s1
