contig	polya_length	coverage	run	condition
ENST00000221264.8	105	9	s2_r3	s2
ENST00000221265.8	20	3	s2_r3	s2
ENST00000221315.10	245	1	s2_r3	s2
ENST00000221363.8	233	1	s2_r3	s2
ENST00000221413.10	54	2	s2_r3	s2
ENST00000221418.9	90	15	s2_r3	s2
ENST00000221419.10	51	5	s2_r3	s2
ENST00000221431.11	36	3	s2_r3	s2
ENST00000221452.13	38	7	s2_r3	s2
ENST00000221455.8	185	1	s2_r3	s2
ENST00000221459.7	40	9	s2_r3	s2
ENST00000221462.9	163	2	s2_r3	s2
ENST00000221466.10	168	51	s2_r3	s2
ENST00000221480.6	34	2	s2_r3	s2
ENST00000221486.6	61	9	s2_r3	s2
ENST00000221494.10	7	2	s2_r3	s2
ENST00000221496.5	75	1	s2_r3	s2
ENST00000221504.12	70	1	s2_r3	s2
ENST00000221543.10	91	7	s2_r3	s2
ENST00000221554.13	30	2	s2_r3	s2
ENST00000221561.12	57	36	s2_r3	s2
ENST00000221566.7	90	25	s2_r3	s2
ENST00000221573.11	109	22	s2_r3	s2
ENST00000221576.4	25	2	s2_r3	s2
ENST00000221665.5	27	8	s2_r3	s2
ENST00000221770.7	35	3	s2_r3	s2
ENST00000221784.8	34	10	s2_r3	s2
ENST00000221801.8	40	19	s2_r3	s2
ENST00000221847.6	56	1	s2_r3	s2
ENST00000221855.8	54	113	s2_r3	s2
ENST00000221856.11	99	3	s2_r3	s2
ENST00000221859.9	45	25	s2_r3	s2
ENST00000221891.9	154	16	s2_r3	s2
ENST00000221922.11	7	1	s2_r3	s2
ENST00000221930.6	86	13	s2_r3	s2
ENST00000221943.14	41	11	s2_r3	s2
ENST00000221957.9	69	109	s2_r3	s2
ENST00000221975.6	43	16	s2_r3	s2
ENST00000221980.5	163	1	s2_r3	s2
ENST00000222005.7	50	45	s2_r3	s2
ENST00000222008.11	73	420	s2_r3	s2
ENST00000222115.5	113	4	s2_r3	s2
ENST00000222120.8	94	4	s2_r3	s2
ENST00000222122.10	41	1	s2_r3	s2
ENST00000222139.11	81	6	s2_r3	s2
ENST00000222145.9	52	8	s2_r3	s2
ENST00000222190.9	48	1	s2_r3	s2
ENST00000222214.10	89	12	s2_r3	s2
ENST00000222219.8	130	54	s2_r3	s2
ENST00000222247.10	58	1704	s2_r3	s2
ENST00000222250.5	92	2	s2_r3	s2
ENST00000222254.13	60	12	s2_r3	s2
ENST00000222256.9	177	1	s2_r3	s2
ENST00000222266.2	55	1	s2_r3	s2
ENST00000222271.7	173	5	s2_r3	s2
ENST00000222284.10	51	111	s2_r3	s2
ENST00000222305.8	65	14	s2_r3	s2
ENST00000222307.9	51	62	s2_r3	s2
ENST00000222308.8	51	12	s2_r3	s2
ENST00000222329.9	124	11	s2_r3	s2
ENST00000222330.8	95	11	s2_r3	s2
ENST00000222345.11	48	11	s2_r3	s2
ENST00000222374.3	192	1	s2_r3	s2
ENST00000222390.11	62	3	s2_r3	s2
ENST00000222399.11	112	13	s2_r3	s2
ENST00000222402.8	83	8	s2_r3	s2
ENST00000222482.10	80	1	s2_r3	s2
ENST00000222511.11	47	4	s2_r3	s2
ENST00000222543.11	141	1799	s2_r3	s2
ENST00000222547.8	97	41	s2_r3	s2
ENST00000222553.8	96	90	s2_r3	s2
ENST00000222567.6	90	13	s2_r3	s2
ENST00000222572.8	98	23	s2_r3	s2
ENST00000222573.5	222	11	s2_r3	s2
ENST00000222574.9	44	7	s2_r3	s2
ENST00000222584.8	69	1	s2_r3	s2
ENST00000222597.6	43	2	s2_r3	s2
ENST00000222644.10	123	4	s2_r3	s2
ENST00000222673.6	51	20	s2_r3	s2
ENST00000222690.10	40	8	s2_r3	s2
ENST00000222693.5	65	62	s2_r3	s2
ENST00000222747.8	58	1	s2_r3	s2
ENST00000222800.8	17	2	s2_r3	s2
ENST00000222803.10	152	57	s2_r3	s2
ENST00000222812.8	242	5	s2_r3	s2
ENST00000222969.10	60	39	s2_r3	s2
ENST00000222990.8	70	9	s2_r3	s2
ENST00000223023.5	102	11	s2_r3	s2
ENST00000223029.8	121	43	s2_r3	s2
ENST00000223061.6	162	81	s2_r3	s2
ENST00000223073.6	45	7	s2_r3	s2
ENST00000223095.5	121	7187	s2_r3	s2
ENST00000223122.4	106	6	s2_r3	s2
ENST00000223127.8	146	87	s2_r3	s2
