contig	polya_length	coverage	run	condition
ENST00000216122.9	94	3	s2_r2	s2
ENST00000216124.10	149	8	s2_r2	s2
ENST00000216127.5	142	1	s2_r2	s2
ENST00000216129.7	77	13	s2_r2	s2
ENST00000216144.4	23	1	s2_r2	s2
ENST00000216146.9	57	515	s2_r2	s2
ENST00000216181.11	64	95	s2_r2	s2
ENST00000216185.7	68	15	s2_r2	s2
ENST00000216190.13	44	51	s2_r2	s2
ENST00000216218.8	47	69	s2_r2	s2
ENST00000216225.9	77	49	s2_r2	s2
ENST00000216237.10	59	3	s2_r2	s2
ENST00000216252.4	24	18	s2_r2	s2
ENST00000216254.9	112	6	s2_r2	s2
ENST00000216259.8	59	26	s2_r2	s2
ENST00000216264.13	56	29	s2_r2	s2
ENST00000216267.12	199	2	s2_r2	s2
ENST00000216268.6	56	7	s2_r2	s2
ENST00000216277.13	53	22	s2_r2	s2
ENST00000216281.13	121	159	s2_r2	s2
ENST00000216286.10	89	4	s2_r2	s2
ENST00000216294.5	106	8	s2_r2	s2
ENST00000216297.7	97	12	s2_r2	s2
ENST00000216330.7	111	5	s2_r2	s2
ENST00000216373.10	84	2	s2_r2	s2
ENST00000216392.8	80	10	s2_r2	s2
ENST00000216410.8	246	13	s2_r2	s2
ENST00000216416.9	79	73	s2_r2	s2
ENST00000216420.12	38	2	s2_r2	s2
ENST00000216442.12	47	43	s2_r2	s2
ENST00000216446.9	40	8	s2_r2	s2
ENST00000216452.9	62	3	s2_r2	s2
ENST00000216455.9	38	39	s2_r2	s2
ENST00000216465.10	62	8	s2_r2	s2
ENST00000216468.8	47	1	s2_r2	s2
ENST00000216479.8	130	27	s2_r2	s2
ENST00000216481.10	144	1	s2_r2	s2
ENST00000216484.7	86	9	s2_r2	s2
ENST00000216487.12	108	1	s2_r2	s2
ENST00000216489.8	90	5	s2_r2	s2
ENST00000216500.9	61	19	s2_r2	s2
ENST00000216554.8	111	39	s2_r2	s2
ENST00000216629.11	38	13	s2_r2	s2
ENST00000216714.8	53	17	s2_r2	s2
ENST00000216727.9	91	14	s2_r2	s2
ENST00000216756.11	89	6	s2_r2	s2
ENST00000216774.11	106	11	s2_r2	s2
ENST00000216780.9	35	11	s2_r2	s2
ENST00000216797.10	33	19	s2_r2	s2
ENST00000216802.10	63	17	s2_r2	s2
ENST00000216832.9	150	4	s2_r2	s2
ENST00000216840.11	88	6	s2_r2	s2
ENST00000216877.10	176	5	s2_r2	s2
ENST00000216879.9	101	16	s2_r2	s2
ENST00000216923.5	69	1	s2_r2	s2
ENST00000216962.9	80	23	s2_r2	s2
ENST00000216968.5	59	21	s2_r2	s2
ENST00000217109.9	47	4	s2_r2	s2
ENST00000217121.9	34	2	s2_r2	s2
ENST00000217131.6	87	2	s2_r2	s2
ENST00000217173.7	16	1	s2_r2	s2
ENST00000217182.6	79	3	s2_r2	s2
ENST00000217195.12	154	1	s2_r2	s2
ENST00000217233.9	40	16	s2_r2	s2
ENST00000217244.9	73	6	s2_r2	s2
ENST00000217260.9	140	1	s2_r2	s2
ENST00000217289.9	125	1	s2_r2	s2
ENST00000217315.9	47	3	s2_r2	s2
ENST00000217381.3	49	13	s2_r2	s2
ENST00000217402.3	50	18	s2_r2	s2
ENST00000217426.7	47	48	s2_r2	s2
ENST00000217446.8	41	4	s2_r2	s2
ENST00000217455.9	95	7	s2_r2	s2
ENST00000217456.3	181	26	s2_r2	s2
ENST00000217515.11	64	26	s2_r2	s2
ENST00000217652.8	55	400	s2_r2	s2
ENST00000217893.10	117	6	s2_r2	s2
ENST00000217901.10	70	12	s2_r2	s2
ENST00000217909.8	265	1	s2_r2	s2
ENST00000217939.7	92	1	s2_r2	s2
ENST00000217958.8	146	24	s2_r2	s2
ENST00000217961.5	156	1	s2_r2	s2
ENST00000217971.8	63	94	s2_r2	s2
ENST00000218056.9	47	9	s2_r2	s2
ENST00000218104.6	85	2	s2_r2	s2
ENST00000218230.6	79	2	s2_r2	s2
ENST00000218340.4	90	6	s2_r2	s2
ENST00000218348.7	85	3	s2_r2	s2
ENST00000218364.5	78	2	s2_r2	s2
ENST00000218388.9	132	2215	s2_r2	s2
ENST00000218516.4	107	3	s2_r2	s2
ENST00000218652.11	42	9	s2_r2	s2
ENST00000218981.5	330	1	s2_r2	s2
ENST00000219066.5	208	1	s2_r2	s2
ENST00000219069.6	168	7	s2_r2	s2
ENST00000219070.9	173	619	s2_r2	s2
ENST00000219139.8	146	2	s2_r2	s2
ENST00000219168.8	65	1	s2_r2	s2
ENST00000219169.9	94	34	s2_r2	s2
ENST00000219204.8	70	23	s2_r2	s2
ENST00000219251.13	135	1	s2_r2	s2
ENST00000219252.10	87	41	s2_r2	s2
ENST00000219271.4	111	4	s2_r2	s2
ENST00000219281.8	18	1	s2_r2	s2
ENST00000219299.8	25	1	s2_r2	s2
ENST00000219302.8	94	12	s2_r2	s2
ENST00000219313.9	49	42	s2_r2	s2
ENST00000219320.9	51	4	s2_r2	s2
ENST00000219343.11	11	1	s2_r2	s2
ENST00000219345.10	127	14	s2_r2	s2
ENST00000219400.8	128	8	s2_r2	s2
ENST00000219409.8	102	2	s2_r2	s2
ENST00000219431.4	41	1	s2_r2	s2
ENST00000219439.9	169	2	s2_r2	s2
ENST00000219473.12	105	10	s2_r2	s2
ENST00000219478.11	7	1	s2_r2	s2
ENST00000219479.7	63	36	s2_r2	s2
ENST00000219535.7	118	2	s2_r2	s2
ENST00000219542.3	23	2	s2_r2	s2
ENST00000219548.9	58	40	s2_r2	s2
ENST00000219611.7	61	5	s2_r2	s2
ENST00000219782.10	117	12	s2_r2	s2
ENST00000219789.11	55	23	s2_r2	s2
ENST00000219794.11	44	8	s2_r2	s2
ENST00000219837.12	100	3	s2_r2	s2
ENST00000220003.14	165	12	s2_r2	s2
ENST00000220058.9	170	6	s2_r2	s2
ENST00000220166.10	15	1	s2_r2	s2
ENST00000220244.7	159	13	s2_r2	s2
ENST00000220325.9	32	8	s2_r2	s2
ENST00000220429.12	120	4	s2_r2	s2
ENST00000220496.9	45	2	s2_r2	s2
ENST00000220509.10	49	10	s2_r2	s2
ENST00000220531.9	93	10	s2_r2	s2
ENST00000220562.9	119	3	s2_r2	s2
ENST00000220584.9	31	10	s2_r2	s2
ENST00000220592.10	64	6	s2_r2	s2
ENST00000220659.11	26	1	s2_r2	s2
ENST00000220669.10	32	10	s2_r2	s2
ENST00000220751.5	98	8	s2_r2	s2
ENST00000220763.10	204	6	s2_r2	s2
ENST00000220764.7	35	12	s2_r2	s2
ENST00000220772.8	125	40	s2_r2	s2
ENST00000220809.9	55	47	s2_r2	s2
ENST00000220847.8	49	1	s2_r2	s2
ENST00000220849.10	56	69	s2_r2	s2
ENST00000220853.8	93	14	s2_r2	s2
ENST00000220876.12	152	3	s2_r2	s2
ENST00000220913.10	116	3	s2_r2	s2
ENST00000220966.10	79	1	s2_r2	s2
ENST00000221086.8	64	5	s2_r2	s2
ENST00000221114.8	96	4	s2_r2	s2
ENST00000221130.11	153	11	s2_r2	s2
ENST00000221138.9	107	30	s2_r2	s2
ENST00000221200.9	127	13	s2_r2	s2
ENST00000221232.11	98	2	s2_r2	s2
ENST00000221233.9	110	4	s2_r2	s2
ENST00000221249.10	83	5	s2_r2	s2
ENST00000221264.8	133	3	s2_r2	s2
ENST00000221265.8	16	5	s2_r2	s2
ENST00000221315.10	314	1	s2_r2	s2
ENST00000221327.8	43	2	s2_r2	s2
ENST00000221363.8	159	1	s2_r2	s2
ENST00000221418.9	56	5	s2_r2	s2
ENST00000221419.10	64	9	s2_r2	s2
ENST00000221452.13	106	5	s2_r2	s2
ENST00000221455.8	108	1	s2_r2	s2
ENST00000221459.7	107	4	s2_r2	s2
ENST00000221466.10	164	23	s2_r2	s2
ENST00000221486.6	19	2	s2_r2	s2
ENST00000221494.10	207	3	s2_r2	s2
ENST00000221504.12	58	1	s2_r2	s2
ENST00000221543.10	126	4	s2_r2	s2
ENST00000221554.13	82	2	s2_r2	s2
ENST00000221561.12	46	19	s2_r2	s2
ENST00000221566.7	70	14	s2_r2	s2
ENST00000221573.11	84	5	s2_r2	s2
ENST00000221665.5	31	1	s2_r2	s2
ENST00000221735.12	278	1	s2_r2	s2
ENST00000221770.7	84	1	s2_r2	s2
ENST00000221784.8	39	2	s2_r2	s2
ENST00000221801.8	40	10	s2_r2	s2
ENST00000221855.8	65	39	s2_r2	s2
ENST00000221859.9	115	5	s2_r2	s2
ENST00000221891.9	134	5	s2_r2	s2
ENST00000221930.6	133	10	s2_r2	s2
ENST00000221943.14	69	3	s2_r2	s2
ENST00000221957.9	82	48	s2_r2	s2
ENST00000221975.6	47	7	s2_r2	s2
ENST00000221980.5	157	1	s2_r2	s2
ENST00000222005.7	63	44	s2_r2	s2
ENST00000222008.11	80	160	s2_r2	s2
ENST00000222120.8	100	2	s2_r2	s2
ENST00000222122.10	57	1	s2_r2	s2
ENST00000222139.11	77	2	s2_r2	s2
ENST00000222145.9	76	6	s2_r2	s2
ENST00000222214.10	37	3	s2_r2	s2
ENST00000222219.8	136	16	s2_r2	s2
ENST00000222247.10	54	699	s2_r2	s2
ENST00000222254.13	39	14	s2_r2	s2
ENST00000222271.7	156	4	s2_r2	s2
ENST00000222284.10	71	36	s2_r2	s2
ENST00000222305.8	54	25	s2_r2	s2
ENST00000222307.9	118	19	s2_r2	s2
ENST00000222308.8	68	17	s2_r2	s2
ENST00000222329.9	43	11	s2_r2	s2
