contig	polya_length	coverage	run	condition
ENST00000221459.7	35	11	s4_r1	s4
ENST00000221462.9	37	4	s4_r1	s4
ENST00000221466.10	159	82	s4_r1	s4
ENST00000221480.6	47	1	s4_r1	s4
ENST00000221486.6	55	3	s4_r1	s4
ENST00000221494.10	35	10	s4_r1	s4
ENST00000221496.5	247	1	s4_r1	s4
ENST00000221543.10	38	15	s4_r1	s4
ENST00000221554.13	41	7	s4_r1	s4
ENST00000221561.12	78	75	s4_r1	s4
ENST00000221566.7	104	39	s4_r1	s4
ENST00000221573.11	58	31	s4_r1	s4
ENST00000221665.5	148	8	s4_r1	s4
ENST00000221735.12	82	1	s4_r1	s4
ENST00000221770.7	147	1	s4_r1	s4
ENST00000221784.8	68	9	s4_r1	s4
ENST00000221801.8	32	30	s4_r1	s4
ENST00000221855.8	41	126	s4_r1	s4
ENST00000221856.11	66	7	s4_r1	s4
ENST00000221859.9	41	18	s4_r1	s4
ENST00000221891.9	159	19	s4_r1	s4
ENST00000221922.11	116	1	s4_r1	s4
ENST00000221930.6	73	31	s4_r1	s4
ENST00000221943.14	53	10	s4_r1	s4
ENST00000221957.9	55	148	s4_r1	s4
ENST00000221975.6	70	25	s4_r1	s4
ENST00000221980.5	210	13	s4_r1	s4
ENST00000222005.7	52	119	s4_r1	s4
ENST00000222008.11	75	370	s4_r1	s4
ENST00000222115.5	62	4	s4_r1	s4
ENST00000222120.8	59	6	s4_r1	s4
ENST00000222122.10	29	5	s4_r1	s4
ENST00000222139.11	41	6	s4_r1	s4
ENST00000222145.9	41	18	s4_r1	s4
ENST00000222190.9	108	1	s4_r1	s4
ENST00000222214.10	74	9	s4_r1	s4
ENST00000222219.8	142	75	s4_r1	s4
ENST00000222224.4	31	1	s4_r1	s4
ENST00000222247.10	58	1888	s4_r1	s4
ENST00000222250.5	73	4	s4_r1	s4
ENST00000222254.13	85	33	s4_r1	s4
ENST00000222256.9	37	1	s4_r1	s4
ENST00000222266.2	77	2	s4_r1	s4
ENST00000222271.7	185	6	s4_r1	s4
ENST00000222275.2	120	1	s4_r1	s4
ENST00000222284.10	61	101	s4_r1	s4
ENST00000222305.8	64	43	s4_r1	s4
ENST00000222307.9	60	60	s4_r1	s4
ENST00000222308.8	60	23	s4_r1	s4
ENST00000222329.9	37	27	s4_r1	s4
ENST00000222330.8	37	11	s4_r1	s4
ENST00000222345.11	62	12	s4_r1	s4
ENST00000222388.6	110	1	s4_r1	s4
ENST00000222390.11	281	8	s4_r1	s4
ENST00000222399.11	202	35	s4_r1	s4
ENST00000222402.8	77	14	s4_r1	s4
ENST00000222462.3	61	1	s4_r1	s4
ENST00000222482.10	160	16	s4_r1	s4
ENST00000222511.11	86	3	s4_r1	s4
ENST00000222543.11	145	748	s4_r1	s4
ENST00000222547.8	46	31	s4_r1	s4
ENST00000222553.8	95	175	s4_r1	s4
ENST00000222567.6	140	12	s4_r1	s4
ENST00000222572.8	124	22	s4_r1	s4
ENST00000222573.5	105	30	s4_r1	s4
ENST00000222574.9	39	11	s4_r1	s4
ENST00000222584.8	178	3	s4_r1	s4
ENST00000222597.6	60	2	s4_r1	s4
ENST00000222644.10	115	2	s4_r1	s4
ENST00000222673.6	52	60	s4_r1	s4
ENST00000222690.10	105	11	s4_r1	s4
ENST00000222693.5	42	86	s4_r1	s4
ENST00000222718.7	162	1	s4_r1	s4
ENST00000222747.8	40	2	s4_r1	s4
ENST00000222800.8	72	4	s4_r1	s4
ENST00000222803.10	66	58	s4_r1	s4
ENST00000222812.8	223	9	s4_r1	s4
ENST00000222823.9	37	2	s4_r1	s4
ENST00000222969.10	99	21	s4_r1	s4
