transcript	log_count	FC	mrna_ont_C3	mrna_ont_C4	HGNC symbol
ENST00000263398	9.123701934915314	0.5768021730147765	8.835300848407925	9.412103021422702	CD44
ENST00000480661	9.810018018468394	0.04526687579054389	9.787384580573123	9.832651456363667	RPL22
ENST00000533898	9.290375102691213	0.5178813411014787	9.031434432140474	9.549315773241952	RCN1
ENST00000525634	9.88642764728285	-0.10132611897971877	9.93709070677271	9.83576458779299	RPS13
ENST00000262030	9.607038058611002	0.16060551195774053	9.526735302632131	9.687340814589872	ATP5F1B
ENST00000458455	9.914631490486002	-0.05427961805992254	9.941771299515963	9.88749168145604	RPL11
ENST00000467075	9.874607911112182	0.03374044632565898	9.857737687949353	9.891478134275012	RPL11
ENST00000430157	10.08387690484616	-0.11470929865250845	10.141231554172416	10.026522255519907	UBA52
ENST00000337554	9.73718184505553	0.17059296225516007	9.65188536392795	9.82247832618311	TSPO
ENST00000511473	9.673116124890647	0.001662389384005536	9.672284930198645	9.67394731958265	RACK1
ENST00000374550	9.882936464188809	-0.017184777366848536	9.891528852872232	9.874344075505384	RPL11
ENST00000360718	9.377718838441396	0.25341337773336825	9.251012149574713	9.504425527308081	SQSTM1
ENST00000374379	9.178718562819705	0.21843586278551186	9.06950063142695	9.287936494212461	CLIC4
ENST00000372360	9.65114954041828	0.16449774728594235	9.568900666775308	9.73339841406125	RPS24
ENST00000348108	9.719208765606425	-0.23889060397021566	9.838654067591532	9.599763463621317	MYL6
ENST00000495333	8.768701255816437	0.3878429205617806	8.574779795535546	8.962622716097327	EEF1A1
ENST00000379341	9.622241685747738	0.10902747606815488	9.567727947713662	9.676755423781817	PRDX4
ENST00000579374	9.840222100324965	0.008456613362193721	9.835993793643869	9.844450407006063	RPL19
ENST00000354811	9.735552717292693	0.020258620790396975	9.725423406897495	9.745682027687891	RPL15
ENST00000227378	9.284603918127832	0.7254940106246401	8.921856912815512	9.647350923440152	HSPA8
ENST00000395422	9.756693228642403	-0.06248574560510889	9.787936101444958	9.725450355839849	CHCHD2
ENST00000396465	9.816210388321007	-0.16541087483740746	9.89891582573971	9.733504950902303	RPL7
ENST00000528987	9.472028712468576	0.2739225617463781	9.335067431595387	9.608989993341766	CD59
ENST00000293831	9.547557170688702	0.005433570993497838	9.544840385191952	9.55027395618545	EIF4A1
ENST00000311549	9.867889805057583	0.07288918399045663	9.831445213062354	9.90433439705281	RPL21
ENST00000532636	9.250131237340797	0.733488667998845	8.883386903341375	9.61687557134022	HSPA8
ENST00000534624	9.250131237340797	0.733488667998845	8.883386903341375	9.61687557134022	HSPA8
ENST00000245458	9.833064285024134	-0.08095754134492594	9.873543055696597	9.792585514351671	RPS29
ENST00000549338	9.621884828331794	0.08123411799552649	9.581267769334032	9.662501887329558	SLC25A3
ENST00000243253	9.278306446645411	-0.20203793369273626	9.37932541349178	9.177287479799043	SEC61A1
ENST00000496634	9.583756179432125	0.03142560554943152	9.568043376657409	9.59946898220684	
ENST00000525340	9.583756179432125	0.03142560554943152	9.568043376657409	9.59946898220684	EEF1G
ENST00000339647	9.496885405628468	0.20151105144891446	9.396129879904011	9.597640931352926	UBC
ENST00000270792	9.309723429165555	0.6816519369593532	8.968897460685879	9.650549397645232	SH3BGRL3
ENST00000394580	9.767658775607767	0.10599072497443451	9.714663413120551	9.820654138094985	RPL36
